DiseaseName	PMID	Sentence index	The # of total tokens	Location of token
parkinson Disease	22019972	5	10	5
parkinson Disease	22019972	9	31	23
parkinson Disease	22019648	2	15	14
parkinson Disease	22019648	2	15	14
parkinson Disease	22019648	2	15	14
parkinson Disease	22019648	3	29	28
parkinson Disease	22019648	3	29	28
parkinson Disease	22019648	3	29	28
parkinson Disease	22019648	6	31	9
parkinson Disease	22019648	6	31	9
parkinson Disease	22019648	6	31	9
parkinson Disease	22019646	2	15	14
parkinson Disease	22019646	2	15	14
parkinson Disease	22019646	2	15	14
parkinson Disease	22019646	3	23	1
parkinson Disease	22019646	3	23	1
parkinson Disease	22019646	3	23	1
parkinson Disease	22019646	6	34	5
parkinson Disease	22019646	6	34	5
parkinson Disease	22019646	6	34	5
parkinson Disease	22018708	2	8	6
parkinson Disease	22018708	2	8	6
parkinson Disease	22018708	2	8	6
parkinson Disease	22018708	8	21	13
parkinson Disease	22018708	13	20	16
parkinson Disease	22017994	3	17	14
parkinson Disease	22017994	3	17	14
parkinson Disease	22017994	3	17	14
parkinson Disease	22017983	3	17	12
parkinson Disease	22017983	5	20	19
parkinson Disease	22017983	5	20	19
parkinson Disease	22017983	5	20	19
parkinson Disease	22017152	2	8	8
parkinson Disease	22016808	2	15	14
parkinson Disease	22016808	2	15	14
parkinson Disease	22016808	2	15	14
parkinson Disease	22016808	3	27	1
parkinson Disease	22016808	3	27	1
parkinson Disease	22016808	3	27	1
parkinson Disease	22014436	3	20	14
parkinson Disease	22014436	3	20	14
parkinson Disease	22014436	3	20	14
parkinson Disease	22014436	8	32	12
parkinson Disease	22014434	2	6	5
parkinson Disease	22014434	2	6	5
parkinson Disease	22014434	2	6	5
parkinson Disease	22014434	3	17	16
parkinson Disease	22014434	3	17	16
parkinson Disease	22014434	3	17	16
parkinson Disease	22014434	6	22	8
parkinson Disease	22014434	6	22	8
parkinson Disease	22014434	6	22	8
parkinson Disease	22014118	11	21	15
parkinson Disease	22014118	11	21	15
parkinson Disease	22014118	11	21	15
parkinson Disease	22013567	2	11	10
parkinson Disease	22013567	2	11	10
parkinson Disease	22013567	2	11	10
parkinson Disease	22013567	5	14	12
parkinson Disease	22013567	5	14	12
parkinson Disease	22013567	5	14	12
parkinson Disease	22013566	2	6	3
parkinson Disease	22013566	3	14	12
parkinson Disease	22013566	3	14	12
parkinson Disease	22013566	3	14	12
parkinson Disease	22013566	5	15	13
parkinson Disease	22013566	5	15	13
parkinson Disease	22013566	5	15	13
parkinson Disease	22013566	10	20	16
parkinson Disease	22013566	10	20	16
parkinson Disease	22013566	10	20	16
parkinson Disease	22013566	11	19	17
parkinson Disease	22013566	11	19	17
parkinson Disease	22013566	11	19	17
parkinson Disease	22013420	2	21	20
parkinson Disease	22013420	2	21	20
parkinson Disease	22013420	2	21	20
parkinson Disease	22013420	3	25	3
parkinson Disease	22013420	3	25	3
parkinson Disease	22013420	3	25	3
parkinson Disease	22013420	8	35	9
parkinson Disease	22013420	8	35	9
parkinson Disease	22013420	8	35	9
parkinson Disease	22013209	2	12	11
parkinson Disease	22013209	2	12	11
parkinson Disease	22013209	2	12	11
parkinson Disease	22013209	3	11	1
parkinson Disease	22013209	3	11	1
parkinson Disease	22013209	3	11	1
parkinson Disease	22011618	5	29	28
parkinson Disease	22011618	5	29	28
parkinson Disease	22011618	5	29	28
parkinson Disease	22009151	3	35	1
parkinson Disease	22009151	3	35	1
parkinson Disease	22009151	3	35	1
parkinson Disease	22008259	5	31	19
parkinson Disease	22006323	3	31	8
parkinson Disease	22005945	2	6	2
parkinson Disease	22005945	2	6	2
parkinson Disease	22005945	2	6	2
parkinson Disease	22005945	3	13	13
parkinson Disease	22004453	2	17	11
parkinson Disease	22004453	2	17	11
parkinson Disease	22004453	2	17	11
parkinson Disease	22004453	3	16	15
parkinson Disease	22004453	3	16	15
parkinson Disease	22004453	3	16	15
parkinson Disease	22004453	8	21	14
parkinson Disease	22004453	8	21	14
parkinson Disease	22004453	8	21	14
parkinson Disease	22003392	2	12	11
parkinson Disease	22003392	2	12	11
parkinson Disease	22003392	2	12	11
parkinson Disease	22003392	3	18	16
parkinson Disease	22003392	3	18	16
parkinson Disease	22003392	3	18	16
parkinson Disease	22003171	2	10	9
parkinson Disease	22003171	2	10	9
parkinson Disease	22003171	2	10	9
parkinson Disease	22003171	3	17	11
parkinson Disease	22003171	3	17	11
parkinson Disease	22003171	3	17	11
parkinson Disease	22001711	4	33	13
parkinson Disease	22001456	2	16	10
parkinson Disease	22001456	3	13	3
parkinson Disease	22001456	3	13	3
parkinson Disease	22001456	3	13	3
parkinson Disease	22001363	3	22	19
parkinson Disease	22001363	3	22	19
parkinson Disease	22001363	3	22	19
parkinson Disease	22000081	2	13	5
parkinson Disease	22000081	3	30	18
parkinson Disease	22000081	3	30	18
parkinson Disease	22000081	3	30	18
parkinson Disease	21999316	2	16	10
parkinson Disease	21999316	2	16	10
parkinson Disease	21999316	2	16	10
parkinson Disease	21999316	4	23	14
parkinson Disease	21999316	7	12	2
parkinson Disease	21999316	7	12	2
parkinson Disease	21999316	7	12	2
parkinson Disease	21999316	17	29	2
parkinson Disease	21999316	17	29	2
parkinson Disease	21999316	17	29	2
parkinson Disease	21999316	22	29	17
parkinson Disease	21999316	22	29	17
parkinson Disease	21999316	22	29	17
parkinson Disease	21998100	2	11	8
parkinson Disease	21998100	2	11	8
parkinson Disease	21998100	2	11	8
parkinson Disease	21998100	10	26	22
parkinson Disease	21998100	10	26	22
parkinson Disease	21998100	10	26	22
parkinson Disease	21995451	2	13	7
parkinson Disease	21995451	2	13	7
parkinson Disease	21995451	2	13	7
parkinson Disease	21995451	3	15	7
parkinson Disease	21995451	3	15	8
parkinson Disease	21995451	3	15	8
parkinson Disease	21995451	3	15	8
parkinson Disease	21994362	4	16	6
parkinson Disease	21994362	4	16	6
parkinson Disease	21994362	4	16	6
parkinson Disease	21994149	2	12	6
parkinson Disease	21994149	3	18	1
parkinson Disease	21994149	3	18	1
parkinson Disease	21994149	3	18	1
parkinson Disease	21993592	5	37	34
parkinson Disease	21993592	6	30	14
parkinson Disease	21992241	2	12	11
parkinson Disease	21992241	2	12	11
parkinson Disease	21992241	2	12	11
parkinson Disease	21992241	3	26	6
parkinson Disease	21992241	3	26	6
parkinson Disease	21992241	3	26	6
parkinson Disease	21989633	2	15	10
parkinson Disease	21989633	3	40	12
parkinson Disease	21989633	3	40	12
parkinson Disease	21989633	3	40	12
parkinson Disease	21989388	2	19	11
parkinson Disease	21989388	3	29	6
parkinson Disease	21989388	3	29	6
parkinson Disease	21989388	3	29	7
parkinson Disease	21989388	3	29	7
parkinson Disease	21989388	3	29	7
parkinson Disease	21989388	9	32	5
parkinson Disease	21989388	9	32	5
parkinson Disease	21989388	9	32	6
parkinson Disease	21989388	9	32	6
parkinson Disease	21989388	9	32	6
parkinson Disease	21983019	2	11	10
parkinson Disease	21983019	2	11	10
parkinson Disease	21983019	2	11	10
parkinson Disease	21983019	3	10	9
parkinson Disease	21983019	3	10	9
parkinson Disease	21983019	3	10	9
parkinson Disease	21983019	5	24	22
parkinson Disease	21983019	5	24	22
parkinson Disease	21983019	5	24	22
parkinson Disease	21983019	6	26	7
parkinson Disease	21983019	6	26	7
parkinson Disease	21983019	6	26	7
parkinson Disease	21983019	6	26	12
parkinson Disease	21983019	7	34	26
parkinson Disease	21983019	11	27	26
parkinson Disease	21983019	11	27	26
parkinson Disease	21983019	11	27	26
parkinson Disease	21983019	12	17	5
parkinson Disease	21983019	12	17	5
parkinson Disease	21983019	12	17	5
parkinson Disease	21983019	13	15	14
parkinson Disease	21983019	13	15	14
parkinson Disease	21983019	13	15	14
parkinson Disease	21982566	2	13	9
parkinson Disease	21982566	2	13	9
parkinson Disease	21982566	2	13	9
parkinson Disease	21982566	3	47	15
parkinson Disease	21982566	3	47	15
parkinson Disease	21982566	3	47	15
parkinson Disease	21982566	8	50	18
parkinson Disease	21982566	8	50	18
parkinson Disease	21982566	8	50	18
parkinson Disease	21981780	7	18	14
parkinson Disease	21981780	7	18	14
parkinson Disease	21981780	7	18	14
parkinson Disease	21981324	2	8	7
parkinson Disease	21981324	2	8	7
parkinson Disease	21981324	2	8	7
parkinson Disease	21981324	3	20	15
parkinson Disease	21981324	3	20	15
parkinson Disease	21981324	3	20	15
parkinson Disease	21980177	2	4	3
parkinson Disease	21980177	2	4	3
parkinson Disease	21980177	2	4	3
parkinson Disease	21978795	3	43	27
parkinson Disease	21978795	3	43	27
parkinson Disease	21978795	3	43	27
parkinson Disease	21978795	7	24	17
parkinson Disease	21977026	2	12	3
parkinson Disease	21977026	4	34	14
parkinson Disease	21977026	4	34	14
parkinson Disease	21977026	4	34	14
parkinson Disease	21977026	6	26	7
parkinson Disease	21977026	6	26	7
parkinson Disease	21977026	6	26	8
parkinson Disease	21977026	6	26	8
parkinson Disease	21977026	6	26	8
parkinson Disease	21977026	10	19	7
parkinson Disease	21977026	12	17	16
parkinson Disease	21977026	12	17	16
parkinson Disease	21977026	12	17	16
parkinson Disease	21975386	3	37	25
parkinson Disease	21975386	3	37	25
parkinson Disease	21975386	3	37	25
parkinson Disease	21971352	2	17	9
parkinson Disease	21971352	2	17	9
parkinson Disease	21971352	2	17	9
parkinson Disease	21971352	3	28	19
parkinson Disease	21971352	3	28	19
parkinson Disease	21971352	3	28	19
parkinson Disease	21970092	2	15	3
parkinson Disease	21970092	2	15	3
parkinson Disease	21970092	2	15	3
parkinson Disease	21970092	3	14	1
parkinson Disease	21970092	3	14	1
parkinson Disease	21970092	3	14	1
parkinson Disease	21970092	4	25	9
parkinson Disease	21970092	5	10	6
parkinson Disease	21970092	5	10	6
parkinson Disease	21970092	5	10	6
parkinson Disease	21970092	10	12	11
parkinson Disease	21970092	10	12	11
parkinson Disease	21970092	10	12	11
parkinson Disease	21970092	11	16	12
parkinson Disease	21970092	11	16	12
parkinson Disease	21970092	11	16	12
parkinson Disease	21970092	13	24	12
parkinson Disease	21970092	16	7	6
parkinson Disease	21970092	16	7	6
parkinson Disease	21970092	16	7	6
parkinson Disease	21970092	19	28	3
parkinson Disease	21969043	2	10	9
parkinson Disease	21969043	2	10	9
parkinson Disease	21969043	2	10	9
parkinson Disease	21967281	2	20	19
parkinson Disease	21967281	2	20	19
parkinson Disease	21967281	2	20	19
parkinson Disease	21967281	3	26	7
parkinson Disease	21967281	3	26	7
parkinson Disease	21967281	3	26	7
parkinson Disease	21966866	2	14	13
parkinson Disease	21966751	2	7	4
parkinson Disease	21966751	3	16	14
parkinson Disease	21966751	3	16	14
parkinson Disease	21966751	3	16	14
parkinson Disease	21964848	7	17	10
parkinson Disease	21963735	2	11	10
parkinson Disease	21963735	2	11	10
parkinson Disease	21963735	2	11	10
parkinson Disease	21963735	3	31	23
parkinson Disease	21963735	3	31	23
parkinson Disease	21963735	3	31	23
parkinson Disease	21963735	4	18	5
parkinson Disease	21961647	3	29	27
parkinson Disease	21961647	3	29	27
parkinson Disease	21961647	3	29	27
parkinson Disease	21961105	3	30	5
parkinson Disease	21960305	7	28	10
parkinson Disease	21960305	7	28	10
parkinson Disease	21960305	7	28	10
parkinson Disease	21960214	2	14	13
parkinson Disease	21960214	2	14	13
parkinson Disease	21960214	2	14	13
parkinson Disease	21960214	3	19	18
parkinson Disease	21960214	3	19	18
parkinson Disease	21960214	3	19	18
parkinson Disease	21960214	5	13	12
parkinson Disease	21960214	5	13	12
parkinson Disease	21960214	5	13	12
parkinson Disease	21960008	2	9	8
parkinson Disease	21960008	2	9	8
parkinson Disease	21960008	2	9	8
parkinson Disease	21960008	3	28	5
parkinson Disease	21960008	3	28	5
parkinson Disease	21960008	3	28	5
parkinson Disease	21959675	2	13	12
parkinson Disease	21959675	2	13	12
parkinson Disease	21959675	2	13	12
parkinson Disease	21959675	3	17	15
parkinson Disease	21959675	3	17	15
parkinson Disease	21959675	3	17	15
parkinson Disease	21959675	8	15	10
parkinson Disease	21959675	8	15	10
parkinson Disease	21959675	8	15	10
parkinson Disease	21959370	2	8	7
parkinson Disease	21959370	2	8	7
parkinson Disease	21959370	2	8	7
parkinson Disease	21959370	3	29	16
parkinson Disease	21959370	3	29	16
parkinson Disease	21959370	3	29	16
parkinson Disease	21959370	21	23	1
parkinson Disease	21959370	21	23	1
parkinson Disease	21959370	21	23	1
parkinson Disease	21957415	8	33	22
parkinson Disease	21957415	8	33	22
parkinson Disease	21957415	8	33	22
parkinson Disease	21956541	2	9	4
parkinson Disease	21956541	3	20	18
parkinson Disease	21956541	3	20	18
parkinson Disease	21956541	3	20	18
parkinson Disease	21955729	2	20	19
parkinson Disease	21955729	2	20	19
parkinson Disease	21955729	2	20	19
parkinson Disease	21955729	3	27	1
parkinson Disease	21955729	3	27	1
parkinson Disease	21955729	3	27	1
parkinson Disease	21954089	2	16	11
parkinson Disease	21954089	2	16	11
parkinson Disease	21954089	2	16	11
parkinson Disease	21954089	3	17	14
parkinson Disease	21954089	3	17	14
parkinson Disease	21954089	3	17	14
parkinson Disease	21953897	2	10	6
parkinson Disease	21953863	3	34	12
parkinson Disease	21953863	4	27	15
parkinson Disease	21953863	4	27	15
parkinson Disease	21953863	4	27	15
parkinson Disease	21953789	2	13	12
parkinson Disease	21953789	2	13	12
parkinson Disease	21953789	2	13	12
parkinson Disease	21953789	3	35	5
parkinson Disease	21953789	3	35	5
parkinson Disease	21953789	3	35	5
parkinson Disease	21953789	4	26	25
parkinson Disease	21953789	4	26	25
parkinson Disease	21953789	4	26	25
parkinson Disease	21953789	5	30	3
parkinson Disease	21953789	5	30	3
parkinson Disease	21953789	5	30	3
parkinson Disease	21953789	13	20	1
parkinson Disease	21953789	13	20	1
parkinson Disease	21953789	13	20	1
parkinson Disease	21953697	4	12	2
parkinson Disease	21953697	11	27	23
parkinson Disease	21953697	11	27	23
parkinson Disease	21953697	11	27	23
parkinson Disease	21952071	2	7	6
parkinson Disease	21952071	2	7	6
parkinson Disease	21952071	2	7	6
parkinson Disease	21952071	3	30	6
parkinson Disease	21952071	3	30	6
parkinson Disease	21952071	3	30	6
parkinson Disease	21951713	2	13	9
parkinson Disease	21951713	2	13	9
parkinson Disease	21951713	2	13	9
parkinson Disease	21951713	3	17	6
parkinson Disease	21951713	3	17	6
parkinson Disease	21951713	3	17	6
parkinson Disease	21951713	9	24	19
parkinson Disease	21951713	9	24	19
parkinson Disease	21951713	9	24	19
parkinson Disease	21951066	2	26	25
parkinson Disease	21951066	2	26	25
parkinson Disease	21951066	2	26	25
parkinson Disease	21951066	3	16	15
parkinson Disease	21951066	3	16	15
parkinson Disease	21951066	3	16	15
parkinson Disease	21951066	12	27	19
parkinson Disease	21951066	12	27	19
parkinson Disease	21951066	12	27	19
parkinson Disease	21951056	2	16	15
parkinson Disease	21951056	2	16	15
parkinson Disease	21951056	2	16	15
parkinson Disease	21951056	3	17	5
parkinson Disease	21951056	3	17	5
parkinson Disease	21951056	3	17	5
parkinson Disease	21950984	7	24	8
parkinson Disease	21950984	7	24	8
parkinson Disease	21950984	7	24	9
parkinson Disease	21950984	7	24	9
parkinson Disease	21950984	7	24	9
parkinson Disease	21950984	8	35	34
parkinson Disease	21950984	8	35	34
parkinson Disease	21950984	8	35	34
parkinson Disease	21950532	2	9	8
parkinson Disease	21950532	2	9	8
parkinson Disease	21950532	2	9	8
parkinson Disease	21950532	3	38	1
parkinson Disease	21950532	3	38	1
parkinson Disease	21950532	3	38	1
parkinson Disease	21950529	2	15	7
parkinson Disease	21950529	2	15	7
parkinson Disease	21950529	2	15	7
parkinson Disease	21950529	3	23	13
parkinson Disease	21950529	3	23	13
parkinson Disease	21950529	3	23	13
parkinson Disease	21950265	3	22	21
parkinson Disease	21950265	3	22	21
parkinson Disease	21950265	3	22	21
parkinson Disease	21948915	2	10	9
parkinson Disease	21948915	2	10	9
parkinson Disease	21948915	2	10	9
parkinson Disease	21948912	2	18	13
parkinson Disease	21948912	2	18	13
parkinson Disease	21948912	2	18	13
parkinson Disease	21948911	2	14	13
parkinson Disease	21948911	2	14	13
parkinson Disease	21948911	2	14	13
parkinson Disease	21948012	9	49	43
parkinson Disease	21948012	9	49	43
parkinson Disease	21948012	9	49	43
parkinson Disease	21947534	3	49	46
parkinson Disease	21946325	6	18	10
parkinson Disease	21946325	6	18	10
parkinson Disease	21946325	6	18	10
parkinson Disease	21945983	2	5	4
parkinson Disease	21945983	2	5	4
parkinson Disease	21945983	2	5	4
parkinson Disease	21945983	3	34	32
parkinson Disease	21945983	3	34	32
parkinson Disease	21945983	3	34	32
parkinson Disease	21941841	13	35	17
parkinson Disease	21941841	13	35	17
parkinson Disease	21941841	13	35	17
parkinson Disease	21940621	3	24	16
parkinson Disease	21940621	3	24	16
parkinson Disease	21940621	3	24	16
parkinson Disease	21940614	3	42	7
parkinson Disease	21940614	3	42	7
parkinson Disease	21940614	3	42	7
parkinson Disease	21939547	2	20	19
parkinson Disease	21939547	2	20	19
parkinson Disease	21939547	2	20	19
parkinson Disease	21939547	3	37	6
parkinson Disease	21939547	3	37	6
parkinson Disease	21939547	3	37	6
parkinson Disease	21937912	3	18	10
parkinson Disease	21937912	3	18	10
parkinson Disease	21937912	3	18	10
parkinson Disease	21936964	5	37	36
parkinson Disease	21936964	5	37	36
parkinson Disease	21936964	5	37	36
parkinson Disease	21936884	2	13	8
parkinson Disease	21936884	2	13	8
parkinson Disease	21936884	2	13	8
parkinson Disease	21936884	3	16	1
parkinson Disease	21936884	3	16	1
parkinson Disease	21936884	3	16	1
parkinson Disease	21934376	4	39	34
parkinson Disease	21934373	2	11	7
parkinson Disease	21934373	3	23	12
parkinson Disease	21934373	3	23	12
parkinson Disease	21934373	3	23	12
parkinson Disease	21934364	2	16	15
parkinson Disease	21934364	2	16	15
parkinson Disease	21934364	2	16	15
parkinson Disease	21934364	3	23	21
parkinson Disease	21934364	3	23	21
parkinson Disease	21934364	3	23	21
parkinson Disease	21931820	2	10	5
parkinson Disease	21931820	3	20	1
parkinson Disease	21931820	3	20	1
parkinson Disease	21931820	3	20	1
parkinson Disease	21931353	2	6	5
parkinson Disease	21931347	2	17	1
parkinson Disease	21930938	4	18	4
parkinson Disease	21930414	3	17	1
parkinson Disease	21930414	3	17	1
parkinson Disease	21930414	3	17	1
parkinson Disease	21930184	2	6	2
parkinson Disease	21930184	3	44	2
parkinson Disease	21928905	2	7	6
parkinson Disease	21928905	2	7	6
parkinson Disease	21928905	2	7	6
parkinson Disease	21928905	4	31	10
parkinson Disease	21928905	4	31	10
parkinson Disease	21928905	4	31	10
parkinson Disease	21925152	2	16	15
parkinson Disease	21925152	2	16	15
parkinson Disease	21925152	2	16	15
parkinson Disease	21925152	3	27	2
parkinson Disease	21925152	3	27	2
parkinson Disease	21925152	3	27	2
parkinson Disease	21925152	13	20	19
parkinson Disease	21925152	13	20	19
parkinson Disease	21925152	13	20	19
parkinson Disease	21924950	2	15	9
parkinson Disease	21924950	2	15	9
parkinson Disease	21924950	2	15	9
parkinson Disease	21924950	3	33	25
parkinson Disease	21924950	3	33	25
parkinson Disease	21924950	3	33	25
parkinson Disease	21924367	2	16	15
parkinson Disease	21924367	2	16	15
parkinson Disease	21924367	2	16	15
parkinson Disease	21924367	3	46	1
parkinson Disease	21924367	3	46	1
parkinson Disease	21924367	3	46	1
parkinson Disease	21922512	11	32	26
parkinson Disease	21921840	2	15	14
parkinson Disease	21921840	2	15	14
parkinson Disease	21921840	2	15	14
parkinson Disease	21921840	3	17	1
parkinson Disease	21921840	3	17	1
parkinson Disease	21921840	3	17	1
parkinson Disease	21921840	5	24	12
parkinson Disease	21921840	5	24	12
parkinson Disease	21921840	5	24	12
parkinson Disease	21921694	3	25	19
parkinson Disease	21921694	3	25	19
parkinson Disease	21921694	3	25	19
parkinson Disease	21921019	2	10	9
parkinson Disease	21921019	2	10	9
parkinson Disease	21921019	2	10	9
parkinson Disease	21921019	3	59	8
parkinson Disease	21921019	3	59	8
parkinson Disease	21921019	3	59	8
parkinson Disease	21921019	6	31	15
parkinson Disease	21921019	6	31	15
parkinson Disease	21921019	6	31	15
parkinson Disease	21921019	15	50	16
parkinson Disease	21921011	2	2	1
parkinson Disease	21919541	2	13	12
parkinson Disease	21919541	2	13	12
parkinson Disease	21919541	2	13	12
parkinson Disease	21919541	3	28	5
parkinson Disease	21919541	3	28	5
parkinson Disease	21919541	3	28	5
parkinson Disease	21917799	6	29	10
parkinson Disease	21917799	6	29	10
parkinson Disease	21917799	6	29	10
parkinson Disease	21917799	10	28	10
parkinson Disease	21917799	10	28	10
parkinson Disease	21917799	10	28	10
parkinson Disease	21917774	2	10	4
parkinson Disease	21917769	2	10	8
parkinson Disease	21917769	2	10	8
parkinson Disease	21917769	2	10	8
parkinson Disease	21917769	4	23	21
parkinson Disease	21917769	4	23	21
parkinson Disease	21917769	4	23	21
parkinson Disease	21917765	2	12	10
parkinson Disease	21917765	2	12	10
parkinson Disease	21917765	2	12	10
parkinson Disease	21917501	3	22	5
parkinson Disease	21917501	3	22	5
parkinson Disease	21917501	3	22	5
parkinson Disease	21917501	7	37	1
parkinson Disease	21915906	2	9	3
parkinson Disease	21915906	3	21	6
parkinson Disease	21915906	3	21	6
parkinson Disease	21915906	3	21	6
parkinson Disease	21915906	4	37	8
parkinson Disease	21915906	4	37	8
parkinson Disease	21915906	4	37	8
parkinson Disease	21915906	5	20	16
parkinson Disease	21915906	5	20	16
parkinson Disease	21915906	5	20	16
parkinson Disease	21915906	7	43	29
parkinson Disease	21915906	7	43	29
parkinson Disease	21915906	7	43	29
parkinson Disease	21915906	8	34	16
parkinson Disease	21915906	8	34	16
parkinson Disease	21915906	8	34	16
parkinson Disease	21915906	9	34	24
parkinson Disease	21915906	9	34	24
parkinson Disease	21915906	9	34	24
parkinson Disease	21915906	10	25	5
parkinson Disease	21915906	10	25	5
parkinson Disease	21915906	10	25	5
parkinson Disease	21915906	11	16	6
parkinson Disease	21915906	11	16	6
parkinson Disease	21915906	11	16	6
parkinson Disease	21915906	12	11	1
parkinson Disease	21915906	12	11	1
parkinson Disease	21915906	12	11	1
parkinson Disease	21912704	2	11	10
parkinson Disease	21912704	2	11	10
parkinson Disease	21912704	2	11	10
parkinson Disease	21912704	5	19	4
parkinson Disease	21912704	5	19	4
parkinson Disease	21912704	5	19	4
parkinson Disease	21912625	2	11	10
parkinson Disease	21912625	2	11	10
parkinson Disease	21912625	2	11	10
parkinson Disease	21912625	4	23	1
parkinson Disease	21912625	4	23	1
parkinson Disease	21912625	4	23	1
parkinson Disease	21912409	2	8	1
parkinson Disease	21911417	3	21	17
parkinson Disease	21911417	3	21	17
parkinson Disease	21911417	3	21	17
parkinson Disease	21911417	15	34	22
parkinson Disease	21911417	15	34	22
parkinson Disease	21911417	15	34	22
parkinson Disease	21908227	3	32	14
parkinson Disease	21908227	3	32	14
parkinson Disease	21908227	3	32	14
parkinson Disease	21908227	4	28	7
parkinson Disease	21908227	4	28	7
parkinson Disease	21908227	4	28	7
parkinson Disease	21908227	5	28	25
parkinson Disease	21908227	5	28	25
parkinson Disease	21908227	5	28	25
parkinson Disease	21908226	2	13	9
parkinson Disease	21907175	2	10	8
parkinson Disease	21907175	2	10	8
parkinson Disease	21907175	2	10	8
parkinson Disease	21907175	3	20	1
parkinson Disease	21907175	3	20	1
parkinson Disease	21907175	3	20	1
parkinson Disease	21907067	2	18	17
parkinson Disease	21907067	2	18	17
parkinson Disease	21907067	2	18	17
parkinson Disease	21907011	2	8	7
parkinson Disease	21907011	2	8	7
parkinson Disease	21907011	2	8	7
parkinson Disease	21907011	8	22	21
parkinson Disease	21907011	8	22	21
parkinson Disease	21907011	8	22	21
parkinson Disease	21906920	2	11	10
parkinson Disease	21906920	2	11	10
parkinson Disease	21906920	2	11	10
parkinson Disease	21906920	3	26	23
parkinson Disease	21906920	3	26	23
parkinson Disease	21906920	3	26	23
parkinson Disease	21906664	2	17	16
parkinson Disease	21906664	2	17	16
parkinson Disease	21906664	2	17	16
parkinson Disease	21906664	3	23	21
parkinson Disease	21906664	3	23	21
parkinson Disease	21906664	3	23	21
parkinson Disease	21906659	3	24	12
parkinson Disease	21906659	3	24	12
parkinson Disease	21906659	3	24	12
parkinson Disease	21905799	2	11	10
parkinson Disease	21905799	2	11	10
parkinson Disease	21905799	2	11	10
parkinson Disease	21905799	3	24	22
parkinson Disease	21905799	3	24	22
parkinson Disease	21905799	3	24	22
parkinson Disease	21905078	7	32	20
parkinson Disease	21904896	2	17	16
parkinson Disease	21904896	2	17	16
parkinson Disease	21904896	2	17	16
parkinson Disease	21904896	3	23	2
parkinson Disease	21904896	3	23	2
parkinson Disease	21904896	3	23	2
parkinson Disease	21904267	2	13	5
parkinson Disease	21904267	2	13	5
parkinson Disease	21904267	2	13	5
parkinson Disease	21904267	4	37	20
parkinson Disease	21904267	4	37	20
parkinson Disease	21904267	4	37	20
parkinson Disease	21904267	9	23	13
parkinson Disease	21904267	9	23	13
parkinson Disease	21904267	9	23	13
parkinson Disease	21901502	2	12	11
parkinson Disease	21901502	2	12	11
parkinson Disease	21901502	2	12	11
parkinson Disease	21898597	2	11	10
parkinson Disease	21898597	2	11	10
parkinson Disease	21898597	2	11	10
parkinson Disease	21898597	3	34	15
parkinson Disease	21898597	5	17	7
parkinson Disease	21898597	5	17	7
parkinson Disease	21898597	5	17	7
parkinson Disease	21898597	7	30	12
parkinson Disease	21898597	7	30	12
parkinson Disease	21898597	7	30	12
parkinson Disease	21894670	2	4	1
parkinson Disease	21894604	2	14	13
parkinson Disease	21894604	4	22	20
parkinson Disease	21894604	4	22	20
parkinson Disease	21894604	4	22	20
parkinson Disease	21894020	2	14	10
parkinson Disease	21894020	2	14	10
parkinson Disease	21894020	2	14	10
parkinson Disease	21894020	3	24	6
parkinson Disease	21894020	3	24	6
parkinson Disease	21894020	3	24	6
parkinson Disease	21893323	2	4	2
parkinson Disease	21892895	3	19	16
parkinson Disease	21892895	3	19	16
parkinson Disease	21892895	3	19	17
parkinson Disease	21892895	3	19	17
parkinson Disease	21892895	3	19	17
parkinson Disease	21890575	2	16	7
parkinson Disease	21890575	3	23	21
parkinson Disease	21890575	3	23	21
parkinson Disease	21890575	3	23	21
parkinson Disease	21890574	2	8	7
parkinson Disease	21890574	2	8	7
parkinson Disease	21890574	2	8	7
parkinson Disease	21890574	3	13	11
parkinson Disease	21890574	3	13	11
parkinson Disease	21890574	3	13	11
parkinson Disease	21889984	3	47	41
parkinson Disease	21889984	7	31	7
parkinson Disease	21889984	7	31	7
parkinson Disease	21889984	7	31	7
parkinson Disease	21889494	2	13	12
parkinson Disease	21889494	2	13	12
parkinson Disease	21889494	2	13	12
parkinson Disease	21889494	3	27	16
parkinson Disease	21889494	3	27	16
parkinson Disease	21889494	3	27	16
parkinson Disease	21889494	11	24	23
parkinson Disease	21889494	11	24	23
parkinson Disease	21889494	11	24	23
parkinson Disease	21889169	2	19	13
parkinson Disease	21889169	2	19	13
parkinson Disease	21889169	2	19	13
parkinson Disease	21889169	3	33	4
parkinson Disease	21889169	3	33	4
parkinson Disease	21889169	3	33	4
parkinson Disease	21887844	2	11	7
parkinson Disease	21887844	3	24	13
parkinson Disease	21887844	3	24	13
parkinson Disease	21887844	3	24	13
parkinson Disease	21887350	2	19	18
parkinson Disease	21887350	2	19	18
parkinson Disease	21887350	2	19	18
parkinson Disease	21887350	3	29	13
parkinson Disease	21887350	3	29	13
parkinson Disease	21887350	3	29	13
parkinson Disease	21885347	2	13	9
parkinson Disease	21885347	4	20	13
parkinson Disease	21885347	4	20	13
parkinson Disease	21885347	4	20	13
parkinson Disease	21885347	6	27	25
parkinson Disease	21885347	6	27	25
parkinson Disease	21885347	6	27	25
parkinson Disease	21885346	2	9	8
parkinson Disease	21885346	2	9	8
parkinson Disease	21885346	2	9	8
