Name	DiseaseName	PMID	Sentence index	The # of total tokens	Location of token	which abbreviation
parkinson's	parkinson Disease	21875422	2	11	10	11
parkinson's disease	parkinson Disease	21875422	2	11	10	12
parkinson's disease	parkinson Disease	21875422	2	11	10	15
parkinson's	parkinson Disease	21875422	3	25	6	11
parkinson's disease	parkinson Disease	21875422	3	25	6	12
parkinson's disease	parkinson Disease	21875422	3	25	6	15
parkinson's	parkinson Disease	21872587	2	18	17	11
parkinson's disease	parkinson Disease	21872587	2	18	17	12
parkinson's disease	parkinson Disease	21872587	2	18	17	15
parkinson's	parkinson Disease	21872587	3	24	23	11
parkinson's disease	parkinson Disease	21872587	3	24	23	12
parkinson's disease	parkinson Disease	21872587	3	24	23	15
parkinson's	parkinson Disease	21872587	6	28	22	11
parkinson disease	parkinson Disease	21872441	4	21	18	8
parkinson disease	parkinson Disease	21872441	4	21	18	10
parkinson	parkinson Disease	21872441	4	21	18	20
parkinson's	parkinson Disease	21872355	2	17	15	11
parkinson's disease	parkinson Disease	21872355	2	17	15	12
parkinson's disease	parkinson Disease	21872355	2	17	15	15
parkinson's	parkinson Disease	21872355	3	23	14	11
parkinson's disease	parkinson Disease	21872355	3	23	14	12
parkinson's disease	parkinson Disease	21872355	3	23	14	15
parkinson's	parkinson Disease	21872276	2	9	8	11
parkinson's disease	parkinson Disease	21872276	2	9	8	12
parkinson's disease	parkinson Disease	21872276	2	9	8	15
parkinson's	parkinson Disease	21872276	3	28	18	11
parkinson's disease	parkinson Disease	21872276	3	28	18	12
parkinson's disease	parkinson Disease	21872276	3	28	18	15
parkinson disease	parkinson Disease	21872276	11	24	13	8
parkinson disease	parkinson Disease	21872276	11	24	13	10
parkinson	parkinson Disease	21872276	11	24	13	20
parkinson's	parkinson Disease	21871902	2	26	25	11
parkinson's disease	parkinson Disease	21871902	2	26	25	12
parkinson's disease	parkinson Disease	21871902	2	26	25	15
parkinson's	parkinson Disease	21871902	3	30	10	11
parkinson's disease	parkinson Disease	21871902	3	30	10	12
parkinson's disease	parkinson Disease	21871902	3	30	10	15
parkinson's	parkinson Disease	21871844	2	16	15	11
parkinson's disease	parkinson Disease	21871844	2	16	15	12
parkinson's disease	parkinson Disease	21871844	2	16	15	15
parkinson's	parkinson Disease	21871844	3	19	3	11
parkinson's disease	parkinson Disease	21871844	3	19	3	12
parkinson's disease	parkinson Disease	21871844	3	19	3	15
parkinson disease	parkinson Disease	21871538	2	8	7	8
parkinson disease	parkinson Disease	21871538	2	8	7	10
parkinson	parkinson Disease	21871538	2	8	7	20
parkinson disease	parkinson Disease	21871538	3	15	11	8
parkinson disease	parkinson Disease	21871538	3	15	11	10
parkinson	parkinson Disease	21871538	3	15	11	20
parkinson's	parkinson Disease	21870999	4	55	19	11
parkinson's disease	parkinson Disease	21870999	4	55	19	12
parkinson's disease	parkinson Disease	21870999	4	55	19	15
parkinson disease	parkinson Disease	21869721	7	48	17	8
parkinson disease	parkinson Disease	21869721	7	48	17	10
parkinson	parkinson Disease	21869721	7	48	17	20
parkinson's	parkinson Disease	21868039	2	6	5	11
parkinson's disease	parkinson Disease	21868039	2	6	5	12
parkinson's disease	parkinson Disease	21868039	2	6	5	15
parkinson's	parkinson Disease	21868039	3	20	1	11
parkinson's disease	parkinson Disease	21868039	3	20	1	12
parkinson's disease	parkinson Disease	21868039	3	20	1	15
parkinson's	parkinson Disease	21867400	2	13	8	11
parkinson's	parkinson Disease	21867400	3	23	17	11
parkinson's disease	parkinson Disease	21867400	3	23	17	12
parkinson's disease	parkinson Disease	21867400	3	23	17	15
idiopathic parkinson's disease	parkinson Disease	21867400	5	17	15	1
idiopathic parkinson's disease	parkinson Disease	21867400	5	17	15	2
parkinson's	parkinson Disease	21867400	5	17	16	11
parkinson's disease	parkinson Disease	21867400	5	17	16	12
parkinson's disease	parkinson Disease	21867400	5	17	16	15
parkinson's	parkinson Disease	21867400	10	37	29	11
parkinson's disease	parkinson Disease	21867400	10	37	29	12
parkinson's disease	parkinson Disease	21867400	10	37	29	15
parkinson's	parkinson Disease	21866175	2	14	2	11
parkinson's disease	parkinson Disease	21866175	2	14	2	12
parkinson's disease	parkinson Disease	21866175	2	14	2	15
parkinson's	parkinson Disease	21866175	3	16	14	11
parkinson's disease	parkinson Disease	21866175	3	16	14	12
parkinson's disease	parkinson Disease	21866175	3	16	14	15
parkinson disease	parkinson Disease	21865882	2	31	30	8
parkinson disease	parkinson Disease	21865882	2	31	30	10
parkinson	parkinson Disease	21865882	2	31	30	20
parkinson disease	parkinson Disease	21865882	11	31	19	8
parkinson disease	parkinson Disease	21865882	11	31	19	10
parkinson	parkinson Disease	21865882	11	31	19	20
parkinson's	parkinson Disease	21865760	4	46	22	11
parkinson's disease	parkinson Disease	21865760	4	46	22	12
parkinson's disease	parkinson Disease	21865760	4	46	22	15
parkinson disease	parkinson Disease	21865652	4	26	11	8
parkinson disease	parkinson Disease	21865652	4	26	11	10
parkinson	parkinson Disease	21865652	4	26	11	20
parkinson disease	parkinson Disease	21865651	3	21	1	8
parkinson disease	parkinson Disease	21865651	3	21	1	10
parkinson	parkinson Disease	21865651	3	21	1	20
parkinson's	parkinson Disease	21865317	2	17	16	11
parkinson's disease	parkinson Disease	21865317	2	17	16	12
parkinson's disease	parkinson Disease	21865317	2	17	16	15
parkinson's	parkinson Disease	21865317	3	17	1	11
parkinson's disease	parkinson Disease	21865317	3	17	1	12
parkinson's disease	parkinson Disease	21865317	3	17	1	15
parkinson's	parkinson Disease	21864849	2	10	9	11
parkinson's disease	parkinson Disease	21864849	2	10	9	12
parkinson's disease	parkinson Disease	21864849	2	10	9	15
parkinson's	parkinson Disease	21864849	3	10	8	11
parkinson's disease	parkinson Disease	21864849	3	10	8	12
parkinson's disease	parkinson Disease	21864849	3	10	8	15
parkinson's	parkinson Disease	21864557	8	22	15	11
parkinson's	parkinson Disease	21864527	2	9	8	11
parkinson's disease	parkinson Disease	21864527	2	9	8	12
parkinson's disease	parkinson Disease	21864527	2	9	8	15
parkinson's	parkinson Disease	21864527	3	27	2	11
parkinson's disease	parkinson Disease	21864527	3	27	2	12
parkinson's disease	parkinson Disease	21864527	3	27	2	15
parkinson's	parkinson Disease	21864078	2	13	5	11
parkinson's	parkinson Disease	21864068	3	24	13	11
parkinson's disease	parkinson Disease	21864068	3	24	13	12
parkinson's disease	parkinson Disease	21864068	3	24	13	15
parkinson's	parkinson Disease	21864066	2	6	5	11
parkinson's disease	parkinson Disease	21864066	2	6	5	12
parkinson's disease	parkinson Disease	21864066	2	6	5	15
parkinson's	parkinson Disease	21864066	4	23	10	11
parkinson's disease	parkinson Disease	21864066	4	23	10	12
parkinson's disease	parkinson Disease	21864066	4	23	10	15
parkinson's	parkinson Disease	21863741	2	5	4	11
parkinson's	parkinson Disease	21863741	3	17	7	11
parkinson's disease	parkinson Disease	21863741	3	17	7	12
parkinson's disease	parkinson Disease	21863741	3	17	7	15
parkinson's	parkinson Disease	21863741	4	32	26	11
parkinson's disease	parkinson Disease	21863741	4	32	26	12
parkinson's disease	parkinson Disease	21863741	4	32	26	15
parkinson's	parkinson Disease	21863007	2	12	1	11
parkinson's disease	parkinson Disease	21863007	2	12	1	12
parkinson's disease	parkinson Disease	21863007	2	12	1	15
parkinson's	parkinson Disease	21863007	3	15	7	11
parkinson's disease	parkinson Disease	21863007	3	15	7	12
parkinson's disease	parkinson Disease	21863007	3	15	7	15
parkinson's	parkinson Disease	21863007	5	16	13	11
parkinson's disease	parkinson Disease	21863007	5	16	13	12
parkinson's disease	parkinson Disease	21863007	5	16	13	15
parkinson's	parkinson Disease	21863007	6	18	9	11
parkinson's	parkinson Disease	21863007	8	36	32	11
parkinson's disease	parkinson Disease	21863007	8	36	32	12
parkinson's disease	parkinson Disease	21863007	8	36	32	15
parkinson disease	parkinson Disease	21862738	2	8	7	8
parkinson disease	parkinson Disease	21862738	2	8	7	10
parkinson	parkinson Disease	21862738	2	8	7	20
parkinson's	parkinson Disease	21862438	2	14	5	11
parkinson's disease	parkinson Disease	21862438	2	14	5	12
parkinson's disease	parkinson Disease	21862438	2	14	5	15
parkinson's	parkinson Disease	21862438	3	17	8	11
parkinson's disease	parkinson Disease	21862438	3	17	8	12
parkinson's disease	parkinson Disease	21862438	3	17	8	15
parkinson's	parkinson Disease	21862038	2	13	9	11
parkinson's disease	parkinson Disease	21862038	2	13	9	12
parkinson's disease	parkinson Disease	21862038	2	13	9	15
parkinson's	parkinson Disease	21862038	4	26	17	11
parkinson's disease	parkinson Disease	21862038	4	26	17	12
parkinson's disease	parkinson Disease	21862038	4	26	17	15
parkinson disease	parkinson Disease	21860778	2	10	9	8
parkinson disease	parkinson Disease	21860778	2	10	9	10
parkinson	parkinson Disease	21860778	2	10	9	20
parkinson disease	parkinson Disease	21860778	3	17	3	8
parkinson disease	parkinson Disease	21860778	3	17	3	10
parkinson	parkinson Disease	21860778	3	17	3	20
parkinson's	parkinson Disease	21858182	5	49	19	11
parkinson's disease	parkinson Disease	21858182	5	49	19	12
parkinson's disease	parkinson Disease	21858182	5	49	19	15
parkinson's	parkinson Disease	21856692	2	16	10	11
parkinson's	parkinson Disease	21856692	3	23	15	11
parkinson's disease	parkinson Disease	21856692	3	23	15	12
parkinson's disease	parkinson Disease	21856692	3	23	15	15
parkinson's	parkinson Disease	21856586	2	8	6	11
parkinson's disease	parkinson Disease	21856586	2	8	6	12
parkinson's disease	parkinson Disease	21856586	2	8	6	15
parkinson disease	parkinson Disease	21856585	2	9	8	8
parkinson disease	parkinson Disease	21856585	2	9	8	10
parkinson	parkinson Disease	21856585	2	9	8	20
parkinson's	parkinson Disease	21856319	2	12	6	11
parkinson's	parkinson Disease	21856319	3	22	1	11
parkinson's disease	parkinson Disease	21856319	3	22	1	12
parkinson's disease	parkinson Disease	21856319	3	22	1	15
parkinson's	parkinson Disease	21856205	2	14	7	11
parkinson's disease	parkinson Disease	21856205	2	14	7	12
parkinson's disease	parkinson Disease	21856205	2	14	7	15
parkinson's	parkinson Disease	21856205	4	30	15	11
parkinson's disease	parkinson Disease	21856205	4	30	15	12
parkinson's disease	parkinson Disease	21856205	4	30	15	15
parkinson	parkinson Disease	21856205	5	26	5	20
parkinson	parkinson Disease	21856205	6	21	5	20
parkinson disease	parkinson Disease	21856205	7	29	26	8
parkinson disease	parkinson Disease	21856205	7	29	26	10
parkinson	parkinson Disease	21856205	7	29	26	20
parkinson disease	parkinson Disease	21855895	2	11	7	8
parkinson disease	parkinson Disease	21855895	2	11	7	10
parkinson	parkinson Disease	21855895	2	11	7	20
parkinson disease	parkinson Disease	21855895	3	25	23	8
parkinson disease	parkinson Disease	21855895	3	25	23	10
parkinson	parkinson Disease	21855895	3	25	23	20
parkinson	parkinson Disease	21855627	2	17	16	20
parkinson's	parkinson Disease	21855627	3	14	12	11
parkinson's disease	parkinson Disease	21855627	3	14	12	12
parkinson's disease	parkinson Disease	21855627	3	14	12	15
parkinson's	parkinson Disease	21853051	2	11	7	11
parkinson's	parkinson Disease	21853051	3	18	16	11
parkinson's disease	parkinson Disease	21853051	3	18	16	12
parkinson's disease	parkinson Disease	21853051	3	18	16	15
parkinson's	parkinson Disease	21852951	9	43	12	11
parkinson's disease	parkinson Disease	21852951	9	43	12	12
parkinson's disease	parkinson Disease	21852951	9	43	12	15
parkinson disease	parkinson Disease	21852238	3	14	1	8
parkinson disease	parkinson Disease	21852238	3	14	1	10
parkinson	parkinson Disease	21852238	3	14	1	20
parkinson's	parkinson Disease	21851954	2	24	7	11
parkinson's disease	parkinson Disease	21851954	2	24	7	12
parkinson's disease	parkinson Disease	21851954	2	24	7	15
parkinson's	parkinson Disease	21851954	3	40	26	11
parkinson's disease	parkinson Disease	21851954	3	40	26	12
parkinson's disease	parkinson Disease	21851954	3	40	26	15
parkinson's	parkinson Disease	21851616	2	16	15	11
parkinson's disease	parkinson Disease	21851616	2	16	15	12
parkinson's disease	parkinson Disease	21851616	2	16	15	15
parkinson's	parkinson Disease	21851616	3	49	7	11
parkinson's disease	parkinson Disease	21851616	3	49	7	12
parkinson's disease	parkinson Disease	21851616	3	49	7	15
parkinson disease	parkinson Disease	21850687	3	30	18	8
parkinson disease	parkinson Disease	21850687	3	30	18	10
parkinson	parkinson Disease	21850687	3	30	18	20
parkinson	parkinson Disease	21850279	6	17	15	20
parkinson's	parkinson Disease	21849941	4	18	8	11
parkinson disease	parkinson Disease	21849641	2	11	10	8
parkinson disease	parkinson Disease	21849641	2	11	10	10
parkinson	parkinson Disease	21849641	2	11	10	20
parkinson disease	parkinson Disease	21849641	3	14	6	8
parkinson disease	parkinson Disease	21849641	3	14	6	10
parkinson	parkinson Disease	21849641	3	14	6	20
parkinson disease	parkinson Disease	21849493	4	12	3	8
parkinson disease	parkinson Disease	21849493	4	12	3	10
parkinson	parkinson Disease	21849493	4	12	3	20
parkinson's	parkinson Disease	21849176	2	8	7	11
parkinson's	parkinson Disease	21849176	3	21	1	11
parkinson's disease	parkinson Disease	21849176	3	21	1	12
parkinson's disease	parkinson Disease	21849176	3	21	1	15
parkinson's	parkinson Disease	21849175	2	11	7	11
parkinson's	parkinson Disease	21849174	2	9	8	11
parkinson's disease	parkinson Disease	21849174	2	9	8	12
parkinson's disease	parkinson Disease	21849174	2	9	8	15
parkinson's	parkinson Disease	21849174	3	24	5	11
parkinson's disease	parkinson Disease	21849174	3	24	5	12
parkinson's disease	parkinson Disease	21849174	3	24	5	15
parkinson's	parkinson Disease	21849167	2	17	13	11
parkinson's	parkinson Disease	21849167	5	25	23	11
parkinson's disease	parkinson Disease	21849167	5	25	23	12
parkinson's disease	parkinson Disease	21849167	5	25	23	15
parkinson disease	parkinson Disease	21847085	3	24	9	8
parkinson disease	parkinson Disease	21847085	3	24	9	10
parkinson	parkinson Disease	21847085	3	24	9	20
parkinson's	parkinson Disease	21846993	2	10	9	11
parkinson's disease	parkinson Disease	21846993	2	10	9	12
parkinson's disease	parkinson Disease	21846993	2	10	9	15
parkinson's	parkinson Disease	21846992	2	14	13	11
parkinson's disease	parkinson Disease	21846992	2	14	13	12
parkinson's disease	parkinson Disease	21846992	2	14	13	15
parkinson's	parkinson Disease	21846992	3	11	7	11
parkinson's disease	parkinson Disease	21846992	3	11	7	12
parkinson's disease	parkinson Disease	21846992	3	11	7	15
parkinson disease	parkinson Disease	21846727	4	21	1	8
parkinson disease	parkinson Disease	21846727	4	21	1	10
parkinson	parkinson Disease	21846727	4	21	1	20
parkinson disease	parkinson Disease	21846727	5	26	16	8
parkinson disease	parkinson Disease	21846727	5	26	16	10
parkinson	parkinson Disease	21846727	5	26	16	20
parkinson's	parkinson Disease	21846476	2	20	19	11
parkinson's disease	parkinson Disease	21846476	2	20	19	12
parkinson's disease	parkinson Disease	21846476	2	20	19	15
parkinson's	parkinson Disease	21846476	3	23	21	11
parkinson's disease	parkinson Disease	21846476	3	23	21	12
parkinson's disease	parkinson Disease	21846476	3	23	21	15
parkinson's	parkinson Disease	21846220	2	7	6	11
parkinson's disease	parkinson Disease	21846220	2	7	6	12
parkinson's disease	parkinson Disease	21846220	2	7	6	15
parkinson's	parkinson Disease	21846220	4	30	10	11
parkinson's disease	parkinson Disease	21846220	4	30	10	12
parkinson's disease	parkinson Disease	21846220	4	30	10	15
parkinson disease	parkinson Disease	21845593	2	10	9	8
parkinson disease	parkinson Disease	21845593	2	10	9	10
parkinson	parkinson Disease	21845593	2	10	9	20
idiopathic parkinson's disease	parkinson Disease	21845593	3	11	8	1
idiopathic parkinson's disease	parkinson Disease	21845593	3	11	8	2
parkinson's	parkinson Disease	21845593	3	11	9	11
parkinson's disease	parkinson Disease	21845593	3	11	9	12
parkinson's disease	parkinson Disease	21845593	3	11	9	15
parkinson's	parkinson Disease	21843964	2	13	10	11
parkinson's disease	parkinson Disease	21843964	2	13	10	12
parkinson's disease	parkinson Disease	21843964	2	13	10	15
parkinson's	parkinson Disease	21843964	3	23	19	11
parkinson's disease	parkinson Disease	21843964	3	23	19	12
parkinson's disease	parkinson Disease	21843964	3	23	19	15
parkinson's	parkinson Disease	21842440	2	11	8	11
parkinson's disease	parkinson Disease	21842440	2	11	8	12
parkinson's disease	parkinson Disease	21842440	2	11	8	15
parkinson's	parkinson Disease	21841671	3	16	1	11
parkinson's disease	parkinson Disease	21841671	3	16	1	12
parkinson's disease	parkinson Disease	21841671	3	16	1	15
parkinson's	parkinson Disease	21841671	6	15	6	11
parkinson's disease	parkinson Disease	21841671	6	15	6	12
parkinson's disease	parkinson Disease	21841671	6	15	6	15
parkinson's	parkinson Disease	21840789	2	15	5	11
parkinson's	parkinson Disease	21840542	2	14	5	11
parkinson's disease	parkinson Disease	21840542	2	14	5	12
parkinson's disease	parkinson Disease	21840542	2	14	5	15
parkinson's	parkinson Disease	21840542	3	23	14	11
parkinson's	parkinson Disease	21840542	5	40	16	11
parkinson's disease	parkinson Disease	21840542	5	40	16	12
parkinson's disease	parkinson Disease	21840542	5	40	16	15
parkinson's	parkinson Disease	21840242	2	15	2	11
parkinson's disease	parkinson Disease	21840242	2	15	2	12
parkinson's disease	parkinson Disease	21840242	2	15	2	15
parkinson's	parkinson Disease	21840242	3	33	26	11
parkinson's disease	parkinson Disease	21840242	3	33	26	12
parkinson's disease	parkinson Disease	21840242	3	33	26	15
parkinson's	parkinson Disease	21839756	2	7	6	11
parkinson's disease	parkinson Disease	21839756	2	7	6	12
parkinson's disease	parkinson Disease	21839756	2	7	6	15
parkinson's	parkinson Disease	21839756	3	14	1	11
parkinson's disease	parkinson Disease	21839756	3	14	1	12
parkinson's disease	parkinson Disease	21839756	3	14	1	15
parkinson's	parkinson Disease	21839480	2	9	8	11
parkinson's disease	parkinson Disease	21839480	2	9	8	12
parkinson's disease	parkinson Disease	21839480	2	9	8	15
parkinson's	parkinson Disease	21839480	6	23	21	11
parkinson's disease	parkinson Disease	21839480	6	23	21	12
parkinson's disease	parkinson Disease	21839480	6	23	21	15
parkinson's	parkinson Disease	21839478	2	9	8	11
parkinson's disease	parkinson Disease	21839478	2	9	8	12
parkinson's disease	parkinson Disease	21839478	2	9	8	15
parkinson's	parkinson Disease	21839478	3	16	15	11
parkinson's disease	parkinson Disease	21839478	3	16	15	12
parkinson's disease	parkinson Disease	21839478	3	16	15	15
parkinson disease	parkinson Disease	21838671	3	19	7	8
parkinson disease	parkinson Disease	21838671	3	19	7	10
parkinson	parkinson Disease	21838671	3	19	7	20
parkinson disease	parkinson Disease	21838506	2	11	10	8
parkinson disease	parkinson Disease	21838506	2	11	10	10
parkinson	parkinson Disease	21838506	2	11	10	20
parkinson disease	parkinson Disease	21838506	3	31	17	8
parkinson disease	parkinson Disease	21838506	3	31	17	10
parkinson	parkinson Disease	21838506	3	31	17	20
parkinson's	parkinson Disease	21836035	2	15	4	11
parkinson's disease	parkinson Disease	21836035	2	15	4	12
parkinson's disease	parkinson Disease	21836035	2	15	4	15
parkinson's	parkinson Disease	21836035	3	32	9	11
parkinson's disease	parkinson Disease	21836035	3	32	9	12
parkinson's disease	parkinson Disease	21836035	3	32	9	15
parkinson's	parkinson Disease	21836031	2	12	11	11
parkinson's disease	parkinson Disease	21836031	2	12	11	12
parkinson's disease	parkinson Disease	21836031	2	12	11	15
parkinson's	parkinson Disease	21836031	3	34	11	11
parkinson's disease	parkinson Disease	21836031	3	34	11	12
parkinson's disease	parkinson Disease	21836031	3	34	11	15
parkinson	parkinson Disease	21834788	2	15	2	20
parkinson's	parkinson Disease	21834788	4	24	23	11
parkinson's disease	parkinson Disease	21834788	4	24	23	12
parkinson's disease	parkinson Disease	21834788	4	24	23	15
parkinson	parkinson Disease	21834788	4	24	2	20
parkinson	parkinson Disease	21834788	7	28	10	20
parkinson's	parkinson Disease	21833065	2	8	4	11
parkinson disease	parkinson Disease	21832222	3	33	24	8
parkinson disease	parkinson Disease	21832222	3	33	24	10
parkinson	parkinson Disease	21832222	3	33	24	20
parkinson	parkinson Disease	21832218	2	11	5	20
parkinson disease	parkinson Disease	21832218	3	35	24	8
parkinson disease	parkinson Disease	21832218	3	35	24	10
parkinson	parkinson Disease	21832218	3	35	24	20
parkinson's	parkinson Disease	21832218	6	54	20	11
parkinson's disease	parkinson Disease	21832218	6	54	20	12
parkinson's disease	parkinson Disease	21832218	6	54	20	15
parkinson disease	parkinson Disease	21832218	9	15	4	8
parkinson disease	parkinson Disease	21832218	9	15	4	10
parkinson	parkinson Disease	21832218	9	15	4	20
parkinson	parkinson Disease	21832216	2	10	5	20
parkinson disease	parkinson Disease	21832216	3	17	3	8
parkinson disease	parkinson Disease	21832216	3	17	3	10
parkinson	parkinson Disease	21832216	3	17	3	20
parkinson's	parkinson Disease	21832216	6	31	10	11
parkinson's disease	parkinson Disease	21832216	6	31	10	12
parkinson's disease	parkinson Disease	21832216	6	31	10	15
parkinson disease	parkinson Disease	21832215	2	10	9	8
parkinson disease	parkinson Disease	21832215	2	10	9	10
parkinson	parkinson Disease	21832215	2	10	9	20
parkinson disease	parkinson Disease	21832215	3	19	17	8
parkinson disease	parkinson Disease	21832215	3	19	17	10
parkinson	parkinson Disease	21832215	3	19	17	20
parkinson	parkinson Disease	21832214	2	11	4	20
parkinson disease	parkinson Disease	21832214	3	31	14	8
parkinson disease	parkinson Disease	21832214	3	31	14	10
parkinson	parkinson Disease	21832214	3	31	14	20
parkinson disease	parkinson Disease	21832212	2	9	7	8
parkinson disease	parkinson Disease	21832212	2	9	7	10
parkinson	parkinson Disease	21832212	2	9	7	20
parkinson disease	parkinson Disease	21832061	3	22	21	8
parkinson disease	parkinson Disease	21832061	3	22	21	10
parkinson	parkinson Disease	21832061	3	22	21	20
parkinson disease	parkinson Disease	21832061	15	22	21	8
parkinson disease	parkinson Disease	21832061	15	22	21	10
parkinson	parkinson Disease	21832061	15	22	21	20
parkinson disease	parkinson Disease	21832049	3	60	21	8
parkinson disease	parkinson Disease	21832049	3	60	21	10
parkinson	parkinson Disease	21832049	3	60	21	20
parkinson	parkinson Disease	21831682	4	48	31	20
parkinson's	parkinson Disease	21831400	2	9	8	11
parkinson's disease	parkinson Disease	21831400	2	9	8	12
parkinson's disease	parkinson Disease	21831400	2	9	8	15
parkinson's	parkinson Disease	21831400	3	23	6	11
parkinson's disease	parkinson Disease	21831400	3	23	6	12
parkinson's disease	parkinson Disease	21831400	3	23	6	15
parkinson's	parkinson Disease	21831400	9	27	26	11
parkinson's disease	parkinson Disease	21831400	9	27	26	12
parkinson's disease	parkinson Disease	21831400	9	27	26	15
parkinson disease	parkinson Disease	21831297	2	13	12	8
parkinson disease	parkinson Disease	21831297	2	13	12	10
parkinson	parkinson Disease	21831297	2	13	12	20
parkinson disease	parkinson Disease	21831297	3	30	9	8
parkinson disease	parkinson Disease	21831297	3	30	9	10
parkinson	parkinson Disease	21831297	3	30	9	20
parkinson	parkinson Disease	21829882	2	11	7	20
parkinson	parkinson Disease	21829612	3	37	7	20
parkinson disease	parkinson Disease	21829596	2	7	6	8
parkinson disease	parkinson Disease	21829596	2	7	6	10
parkinson	parkinson Disease	21829596	2	7	6	20
parkinson disease	parkinson Disease	21829596	3	20	12	8
parkinson disease	parkinson Disease	21829596	3	20	12	10
parkinson	parkinson Disease	21829596	3	20	12	20
parkinson's	parkinson Disease	21827877	2	2	1	11
parkinson's disease	parkinson Disease	21827877	2	2	1	12
parkinson's disease	parkinson Disease	21827877	2	2	1	15
parkinson's	parkinson Disease	21827489	3	18	16	11
parkinson's disease	parkinson Disease	21827489	3	18	16	12
parkinson's disease	parkinson Disease	21827489	3	18	16	15
parkinson's	parkinson Disease	21826887	2	9	8	11
parkinson's disease	parkinson Disease	21826887	2	9	8	12
parkinson's disease	parkinson Disease	21826887	2	9	8	15
parkinson's	parkinson Disease	21826887	3	19	1	11
parkinson's disease	parkinson Disease	21826887	3	19	1	12
parkinson's disease	parkinson Disease	21826887	3	19	1	15
parkinson	parkinson Disease	21825240	2	11	4	20
parkinson disease	parkinson Disease	21825240	3	32	11	8
parkinson disease	parkinson Disease	21825240	3	32	11	10
parkinson	parkinson Disease	21825240	3	32	11	20
parkinson disease	parkinson Disease	21825240	9	13	8	8
parkinson disease	parkinson Disease	21825240	9	13	8	10
parkinson	parkinson Disease	21825240	9	13	8	20
idiopathic parkinson disease	parkinson Disease	21825239	4	11	9	0
parkinson disease	parkinson Disease	21825239	4	11	10	8
parkinson disease	parkinson Disease	21825239	4	11	10	10
parkinson	parkinson Disease	21825239	4	11	10	20
parkinson	parkinson Disease	21825238	12	32	23	20
parkinson	parkinson Disease	21825213	2	11	7	20
parkinson disease	parkinson Disease	21825213	3	21	19	8
parkinson disease	parkinson Disease	21825213	3	21	19	10
parkinson	parkinson Disease	21825213	3	21	19	20
parkinson's	parkinson Disease	21825213	4	34	20	11
parkinson's disease	parkinson Disease	21825213	4	34	20	12
parkinson's disease	parkinson Disease	21825213	4	34	20	15
parkinson's	parkinson Disease	21825213	9	30	10	11
parkinson's disease	parkinson Disease	21825213	9	30	10	12
parkinson's disease	parkinson Disease	21825213	9	30	10	15
parkinson's	parkinson Disease	21825080	2	16	11	11
parkinson's	parkinson Disease	21825080	3	31	13	11
parkinson's disease	parkinson Disease	21825080	3	31	13	12
parkinson's disease	parkinson Disease	21825080	3	31	13	15
parkinson's	parkinson Disease	21824799	2	14	13	11
parkinson's disease	parkinson Disease	21824799	2	14	13	12
parkinson's disease	parkinson Disease	21824799	2	14	13	15
parkinson's	parkinson Disease	21824799	3	17	15	11
parkinson's disease	parkinson Disease	21824799	3	17	15	12
parkinson's disease	parkinson Disease	21824799	3	17	15	15
parkinson's	parkinson Disease	21824629	2	11	5	11
parkinson's	parkinson Disease	21824629	3	12	1	11
parkinson's disease	parkinson Disease	21824629	3	12	1	12
parkinson's disease	parkinson Disease	21824629	3	12	1	15
parkinson	parkinson Disease	21822547	4	35	33	20
idiopathic parkinson's disease	parkinson Disease	21822547	5	19	2	1
idiopathic parkinson's disease	parkinson Disease	21822547	5	19	2	2
parkinson's	parkinson Disease	21822547	5	19	3	11
parkinson's disease	parkinson Disease	21822547	5	19	3	12
parkinson's disease	parkinson Disease	21822547	5	19	3	15
parkinson's	parkinson Disease	21821107	10	22	20	11
parkinson's disease	parkinson Disease	21821107	10	22	20	12
parkinson's disease	parkinson Disease	21821107	10	22	20	15
parkinson's	parkinson Disease	21820940	2	16	15	11
parkinson's	parkinson Disease	21820940	3	38	30	11
parkinson's disease	parkinson Disease	21820940	3	38	30	12
parkinson's disease	parkinson Disease	21820940	3	38	30	15
parkinson's	parkinson Disease	21820940	4	23	6	11
parkinson's disease	parkinson Disease	21820940	4	23	6	12
parkinson's disease	parkinson Disease	21820940	4	23	6	15
parkinson disease	parkinson Disease	21820940	5	41	12	8
parkinson disease	parkinson Disease	21820940	5	41	12	10
parkinson	parkinson Disease	21820940	5	41	12	20
parkinson disease	parkinson Disease	21820940	6	18	14	8
parkinson disease	parkinson Disease	21820940	6	18	14	10
parkinson	parkinson Disease	21820940	6	18	14	20
parkinson disease	parkinson Disease	21820940	10	22	7	8
parkinson disease	parkinson Disease	21820940	10	22	7	10
parkinson	parkinson Disease	21820940	10	22	7	20
parkinson's	parkinson Disease	21820129	2	17	16	11
parkinson's disease	parkinson Disease	21820129	2	17	16	12
parkinson's disease	parkinson Disease	21820129	2	17	16	15
parkinson's	parkinson Disease	21820129	3	12	1	11
parkinson's disease	parkinson Disease	21820129	3	12	1	12
parkinson's disease	parkinson Disease	21820129	3	12	1	15
parkinson's	parkinson Disease	21819982	2	17	8	11
parkinson disease	parkinson Disease	21819188	2	11	10	8
parkinson disease	parkinson Disease	21819188	2	11	10	10
parkinson	parkinson Disease	21819188	2	11	10	20
parkinson disease	parkinson Disease	21819188	3	13	4	8
parkinson disease	parkinson Disease	21819188	3	13	4	10
